Id,SalePrice
1,190525.305541584
2,172150.523106219
3,172150.523106219
4,189018.853507321
5,135626.733657509
6,138330.057803196
7,172150.523106219
8,172150.523106219
9,114492.227739831
10,124810.291694725
11,203638.426649107
12,200076.254918902
13,159664.884613014
14,138224.526969304
15,122465.600556462
16,159748.029836423
17,172150.523106219
18,221454.710022053
19,167939.048822945
20,256132.816567375
21,137015.794419623
22,227331.449335744
23,172150.523106219
24,183452.677162616
25,130538.171389008
26,172150.523106219
27,156575.126241824
28,106920.726421948
29,113878.809070525
30,153164.832489065
31,172150.523106219
32,153082.743246939
33,199216.645185717
34,127591.454581241
35,175869.366752678
36,230651.47171799
37,150462.24224374
38,172150.523106219
39,197389.746431535
40,197139.514286175
41,174723.228399319
42,159207.198430123
43,135421.972330366
44,258860.777878623
45,154271.293454936
46,154925.610072342
47,172150.523106219
48,163411.765357788
49,200249.495608302
50,226158.521078686
51,150645.601426367
52,174422.466259325
53,172150.523106219
54,119870.702181717
55,118763.681231958
56,172150.523106219
57,167051.477696751
58,124808.379190102
59,127932.549724498
60,185980.161656473
61,145589.320506214
62,234962.466487176
63,176831.600472207
64,184392.530099954
65,206480.647866183
66,241290.54179811
67,172150.523106219
68,197747.61401603
69,172979.917300577
70,157312.276784759
71,145410.992665971
72,187941.564091949
73,197641.106295176
74,178468.210746936
75,172150.523106219
76,215488.119029887
77,144100.011553874
78,153318.972279296
79,184437.68821104
80,147389.808234066
81,122032.357512925
82,167950.209895978
83,172035.65127228
84,166111.860071058
85,171618.754622956
86,217668.075387986
87,205769.230263036
88,172150.523106219
89,138371.488103006
90,138315.06287438
91,234494.134129861
92,191336.053097344
93,170574.709089792
94,172150.523106219
95,202313.056799313
96,128791.513994175
97,172150.523106219
98,223633.832226618
99,197999.603317199
100,172150.523106219
101,194199.2646698
102,172150.523106219
103,201284.950736877
104,119007.664361592
105,172150.523106219
106,138032.071829543
107,213785.667972351
108,208092.42035262
109,157979.126547572
110,172150.523106219
111,171114.902297736
112,257716.941579303
113,111156.894082098
114,157938.441415245
115,149408.716199355
116,172150.523106219
117,172150.523106219
118,232042.422181653
119,150756.59165946
120,169688.117850803
121,211653.502361644
122,143953.675775466
123,136027.766789235
124,212835.177326546
125,161010.473874968
126,187662.890376433
127,207171.384374097
128,182675.111655503
129,161011.236274706
130,188472.967070351
131,126347.729291711
132,151180.291855705
133,172150.523106219
134,101549.600858263
135,172150.523106219
136,225094.254744781
137,131664.532925346
138,195211.552102829
139,155137.774588463
140,189469.645600636
141,169605.19112129
142,161295.127527677
143,203683.216210987
144,185589.153816631
145,202611.57407182
146,121048.14098774
147,185322.003137114
148,157673.468489373
149,172150.523106219
150,223422.229483265
151,186645.818716778
152,168892.483356817
153,180874.68050109
154,132677.241288678
155,168414.724642355
156,141609.860507526
157,166841.727152004
158,172150.523106219
159,145919.495549519
160,154281.454497729
161,156736.934981892
162,172150.523106219
163,172150.523106219
164,156129.688222095
165,172150.523106219
166,156616.974391161
167,235091.586928922
168,191405.254635406
169,158276.476235607
170,130821.217442389
171,159015.303752027
172,208625.930629233
173,222846.783438949
174,156554.742671954
175,86016.5505008109
176,200281.212832233
177,172150.523106219
178,172150.523106219
179,111779.462221172
180,121242.213535414
181,182241.563196411
182,255939.53201197
183,169451.292076094
184,210302.475944597
185,172994.455668859
186,204601.146761867
187,176662.945898951
188,174362.237887815
189,91277.4771716772
190,169892.328605179
191,197885.737490045
192,208110.79664901
193,172150.523106219
194,173104.917356317
195,335317.110580703
196,172150.523106219
197,172150.523106219
198,115800.964919907
199,173976.025798196
200,172150.523106219
201,184499.763814767
202,162674.730337309
203,153636.388619478
204,132590.619880647
205,190469.284942745
206,199160.518341283
207,135032.76474138
208,158971.610265044
209,162841.264977814
210,175312.169230791
211,112143.674070135
212,172150.523106219
213,172150.523106219
214,228299.993903881
215,177653.386545054
216,172150.523106219
217,175056.466316027
218,172150.523106219
219,185388.237782245
220,150521.445807202
221,177093.605031023
222,127699.207196504
223,156999.527919738
224,131688.91217032
225,172150.523106219
226,131629.986372276
227,132178.271053995
228,174508.098709619
229,172288.785112864
230,167981.287080498
231,221775.911008845
232,176345.246668421
233,172150.523106219
234,163851.293229099
235,164149.08756649
236,135391.57205424
237,158987.832284348
238,154159.622356533
239,198648.732733617
240,200713.033796503
241,172150.523106219
242,186637.842265036
243,172150.523106219
244,164408.52376373
245,169392.293255633
246,158211.66613065
247,130779.539970058
248,209890.494226764
249,112107.274006789
250,196310.883214418
251,118450.034089813
252,120237.290743952
253,160009.818300332
254,135662.959993214
255,196876.500429906
256,146736.80416296
257,180136.613182245
258,102481.601592265
259,166816.116493139
260,143490.27710525
261,129147.370462587
262,184987.418402429
263,182592.680632069
264,230844.125398306
265,194808.787370333
266,172150.523106219
